Ticker,Sector Code,Sector,IDX Sector,Sector Index,Subsector,Industry,Subindustry,Company Name,Source
BPII,G,Financials,Keuangan,IDXFINANCE,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,PT Batavia Prosperindo Internasional Tbk.,IDX Live
BPTR,K,Transportation & Logistics,Transportasi & Logistik,IDXTRANS,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan,PT Batavia Prosperindo Trans Tbk.,IDX Live
BRAM,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Otomotif & Komponen Otomotif,Komponen Otomotif,Ban,Indo Kordsa Tbk,IDX Live
BREN,J,Infrastructures,Infrastruktur,IDXINFRA,Utilitas,Utilitas Listrik,Utilitas Listrik,PT Barito Renewables Energy Tbk.,IDX Live
BRIS,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank Syariah Indonesia (Persero) Tbk,IDX Live
BRMS,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,Bumi Resources Minerals Tbk,IDX Live
BRNA,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Berlina Tbk,IDX Live
BRPT,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Barang Kimia,Barang Kimia Dasar,Barito Pacific Tbk,IDX Live
BRRC,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Makanan Olahan,Makanan Olahan,PT Raja Roti Cemerlang Tbk,IDX Live
BSBK,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,PT Wulandari Bangun Laksana Tbk,IDX Live
BSDE,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,PT Bumi Serpong Damai Tbk,IDX Live
BSIM,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,Bank Sinarmas Tbk,IDX Live
BSML,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,PT Bintang Samudera Mandiri Lines Tbk,IDX Live
BSSR,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Baramulti Suksessarana Tbk,IDX Live
BSWD,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,Bank of India Indonesia Tbk,IDX Live
BTEK,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Bumi Teknokultura Unggul Tbk,IDX Live
BTEL,J,Infrastructures,Infrastruktur,IDXINFRA,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,Bakrie Telecom Tbk,IDX Live
BTON,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Logam & Mineral,Baja & Besi,Betonjaya Manunggal Tbk,IDX Live
BTPN,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank SMBC Indonesia Tbk,IDX Live
BTPS,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank BTPN Syariah Tbk.,IDX Live
BUAH,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan,PT Segar Kumala Indonesia Tbk,IDX Live
BUDI,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Makanan Olahan,Makanan Olahan,PT Budi Starch & Sweetener Tbk.,IDX Live
BUKA,I,Technology,Teknologi,IDXTECHNO,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,PT Bukalapak.com Tbk,IDX Live
BUKK,J,Infrastructures,Infrastruktur,IDXINFRA,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Bukaka Teknik Utama Tbk,IDX Live
BULL,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,PT Buana Lintas Lautan Tbk.,IDX Live
BUMI,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Bumi Resources Tbk,IDX Live
BUVA,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",PT Bukit Uluwatu Villa Tbk,IDX Live
BVIC,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,Bank Victoria International Tbk,IDX Live
BWPT,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Eagle High Plantations Tbk,IDX Live
BYAN,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Bayan Resources Tbk,IDX Live
CAKK,C,Industrials,Perindustrian,IDXINDUST,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,PT Cahayaputra Asa Keramik Tbk.,IDX Live
CAMP,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Makanan Olahan,Produk Susu Olahan,PT Campina Ice Cream Industry Tbk.,IDX Live
CANI,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,PT Capitol Nusantara Indonesia Tbk.,IDX Live
CARE,F,Healthcare,Kesehatan,IDXHEALTH,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,PT Metro Healthcare Indonesia Tbk,IDX Live
CARS,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif,PT Industri dan Perdagangan Bintraco Dharma Tbk,IDX Live
CASA,G,Financials,Keuangan,IDXFINANCE,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,PT Capital Financial Indonesia Tbk,IDX Live
CASH,I,Technology,Teknologi,IDXTECHNO,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,PT Cashlez Worldwide Indonesia Tbk.,IDX Live
